Country,Top10,CO2_habitant,PIB_habitant
Afghanistan,0.4146,0.689973831177,1625.4184
Albania,0.3411,2.23229312897,10659.086
Algeria,0.3808,2.32491087914,9576.1042
Angola,0.5801,0.713011682034,6595.3981
Argentina,0.4278,4.05064296722,21232.0559
Armenia,0.4062,2.05312108994,10584.689
Australia,0.336,14.9328556061,37163.7058
Austria,0.3388,10.678106308,42666.087
Azerbaijan,0.3907,4.16969060898,12379.7741
Bahamas,0.4861,7.72653579712,28481.4456
Bahrain,0.5737,10.8036308289,36271.174
Bangladesh,0.4285,0.789717614651,3800.5036
Belarus,0.3339,6.91969633102,15466.933
Belgium,0.3289,15.2828989029,39506.041
Belize,0.4861,2.28740692139,5323.7222
Benin,0.5475,0.800892591476,2517.3854
Bhutan,0.4259,2.23413324356,9341.2711
Bolivia,0.4861,1.92913448811,6812.1136
Bosnia and Herzegovina,0.3418,6.53742408752,11389.5434
Botswana,0.5926,7.22866153717,14308.5122
Brazil,0.5856,2.31174516678,12455.9685
Brunei Darussalam,0.3776,5.28681993484,56107.8937
Bulgaria,0.4349,5.3937792778,17761.3609
Burkina Faso,0.4726,0.275289535522,1678.5158
Burundi,0.4839,0.0939018726349,590.9299
Cabo Verde,0.4908,1.58112955093,5462.6685
Cambodia,0.465,1.23945057392,3364.5244
Cameroon,0.5205,0.422803789377,2816.1865
Canada,0.407,15.4891719818,37423.8239
Central African Republic,0.6491,0.135689467192,728.9316
Chad,0.493,0.0730041712523,1258.6654
Chile,0.5891,4.84038829803,18835.6977
China,0.4166,6.53579044342,15417.9174
Colombia,0.5146,2.26385068893,11413.6063
Congo,0.5593,0.726572751999,2993.3272
Costa Rica,0.501,2.65546774864,14977.8197
Cote d’Ivoire,0.4865,0.686821520329,3953.8102
Croatia,0.3536,5.18519830704,21492.3552
Cuba,0.4008,3.6549680233,18925.0586
Cyprus,0.3634,12.8999481201,30887.4154
Czech Republic,0.2854,8.15361976624,30970.2624
DR Congo,0.4884,0.0869177207351,947.3085
Denmark,0.3364,8.30010890961,44933.5908
Djibouti,0.4955,0.836588144302,4262.7631
Dominican Republic,0.4861,2.67149686813,14541.1747
Ecuador,0.3732,2.74789214134,8690.3057
Egypt,0.497,2.41998314857,9314.9499
El Salvador,0.4107,1.29732263088,6767.0168
Eritrea,0.4547,0.277367055416,1401.4629
Estonia,0.3462,11.7076807022,28567.5361
Ethiopia,0.4547,0.19316342473,2003.4795
Finland,0.334,11.075217247,37110.1896
France,0.3225,6.46554422379,33892.6933
Gabon,0.4332,1.6474814415,12226.3347
Gambia,0.4587,0.396582573652,1743.3963
Georgia,0.4338,2.94386076927,11053.4877
Germany,0.3722,9.50908660889,39236.2931
Ghana,0.4891,0.646873235703,4486.828
Greece,0.3253,5.25630092621,22887.5284
Guatemala,0.4861,1.45075011253,6321.9077
